GHGRP ID No. / No d'identification du PDGES,reference_year,facility_name,facility_location,municipality,province,postal_code,Latitude,Longitude,NAICS_code_description,company_legal_name,company_trade_name,total_emissions_tonnes_CO2e
G10134,2021,Hangingstone SAGD Demonstration Facility,63 Highway,RM of Wood Buffalo,Alberta,T9H 3G2,56.3132,-111.6362,In-situ oil sands extraction,Greenfire Resources Operating Corporation,,145849.7989
G10135,2021,Hanlan Robb Gas Plant,,Edson,Alberta,T7E 1T8,53.2045,-116.8112,Oil and gas extraction (except oil sands),Canlin Energy Corporation,,165865.1459
G10136,2021,Harmac Pacific Operations,1000 Wave Place,Nanaimo,British Columbia,V9X 1J2,49.1369,-123.8564,Chemical Pulp Mills,Nanaimo Forest Products Ltd.,Nanaimo Forest Products Ltd.,134596.1301
G10137,2021,Harmattan Gas Processing Plant,,Didsbury,Alberta,T0M 0W0,51.6969,-114.475,Oil and gas extraction (except oil sands),AltaGas Ltd.,,383110.7548
G10138,2021,Havelock Plant,0 4634 880 Route,Havelock,New Brunswick,E4S 5K8,45.99756,-65.30631,Lime Manufacturing,Graymont (NB) Inc.,Graymont (NB) Inc.,61958.22269
G10139,2021,Hays Gas Plant 11-31-013-14 W4M,,n/a,Alberta,,50.1291,-111.9058,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,Canadian Natural Resources Limited,37499.75299
G10140,2021,HBMS Flin Flon Metallurgical Complex,1 Company Road,Flin Flon,Manitoba,R8A 1N9,54.771,-101.884,Copper-Zinc Ore Mining,Hudbay Minerals,,28020.52
G10141,2021,Hendrickson Springs,532 Romeo Street,Stratford,Ontario,N5A 4V4,43.3615,-80.9642,Spring (Heavy Gauge) Manufacturing,Hendrickson Canada ULC,,10604.1725
G10142,2021,Hibernia Platform,20 Hebron Way,St. John's,Newfoundland and Labrador,A1A 0L9,46.7504,-48.7829,Oil and gas extraction (except oil sands),Hibernia Management and Development Company Limited,Hibernia Management and Development Company Limite,528378.9782
G10143,2021,Highvale Coal Mine,4425 Sundance Road,Seba Beach,Alberta,T0E 2B0,53.4917,-114.5817,Subbituminous Coal Mining,TransAlta Generation Partnership,TransAlta Corporation,16916.84083
G10144,2021,"Hinton Pulp, a division of West Fraser Mills Ltd.",760 Switzer Drive,Hinton,Alberta,t7v 1v7,53.4133,-117.5706,Chemical Pulp Mills,West Fraser Mills Ltd.,West Fraser Mills Ltd.,217424.3174
G10145,2021,Holyrood Thermal Generating Station,1 Thermal Plant Road,Holyrood,Newfoundland and Labrador,A0A 2R0,47.4506,-53.0963,Fossil-Fuel Electric Power Generation,Newfoundland and Labrador Hydro,NL Hydro,623857.01
G10146,2021,Howe Sound Pulp and Paper Mill,3838 Port Mellon Highway,Port Mellon,British Columbia,V0N 2S0,49.5237,-123.4837,Chemical Pulp Mills,Howe Sound Pulp & Paper Corporation,Howe Sound Pulp & Paper,101439.5658
G10147,2021,Lloydminster Upgrader,16 Highway East,Lloydminster,Saskatchewan,S9V 1M6,53.26311,-109.94889,Oil and gas extraction (except oil sands),Husky Oil Operations Limited,Cenovus,1102253.379
G10148,2021,Entreprise Indorama PTA Montréal s.e.c.,10200 Sherbrooke Street East,Montréal,Quebec,H1B 1B4,45.6203,-73.5183,Other Basic Organic Chemical Manufacturing,Entreprise Indorama PTA Montréal s.e.c.,Indorama Venture PTA Montreal l.p.,117139.866
G10149,2021,INVISTA (Canada) Company-Maitland Site,1400 County #2 Road East,Maitland,Ontario,K0E 1P0,44.6606,-75.6017,Other Basic Organic Chemical Manufacturing,INVISTA (Canada) Company,INVISTA (Canada) Company,91243.499
G10150,2021,EVRAZ Inc NA Canada - Regina Facilities,100 Armour Road,Regina,Saskatchewan,S4P 3C7,50.5176,-104.6301,Iron and Steel Mills and Ferro-Alloy Manufacturing,EVRAZ Inc NA Canada,EVRAZ Inc NA Canada,232879.7055
G10151,2021,Iroquois Falls Generating Station,1 Northwest Industrial Road,Iroquois Falls,Ontario,P0K 1G0,48.7696,-80.6669,Fossil-Fuel Electric Power Generation,Northland Power Inc.,Northland Power Inc.,4375.276127
G10152,2021,Joffre LAO Plant,2 Km South of Joffre on Hwy 815,Joffre,Alberta,T4N 6A1,52.30827,-113.5415,Petrochemical Manufacturing,INEOS Canada Partnership,INEOS Canada Partnership,132802.2122
G10154,2021,Usine de Joliette,966 des Prairies Road,Joliette,Quebec,J6E 0L4,46.0297,-73.4024,Cement Manufacturing,CRH Canada Group Inc.,CRH Canada Group Inc.,317082.7861
G10155,2021,Judy Creek Gas Conservation Plant,1,Swan Hills,Alberta,,54.57229,-115.5231,Oil and gas extraction (except oil sands),Conifer Energy Inc.,Conifer Energy Inc.,53218.8333
G10157,2021,Kamloops Mill (SFO),0 2005 Mission Flats Road,Kamloops,British Columbia,V2C 1A9,50.686,-120.404,Chemical Pulp Mills,Domtar Inc.,Domtar,98060.773
G10158,2021,Karr 10-10-065-02 W6M,,n/a,Alberta,,54.6133,-118.2129,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,Canadian Natural Resources Limited,78995.89379
G10159,2021,Kaybob Amalgamated Sour Gas Plant,Kaybob Amalgamated,Fox Creek,Alberta,T0H 1P0,54.4272,-116.8843,Oil and gas extraction (except oil sands),Energy Transfer Canada,Energy Transfer Canada,176245.4259
G10160,2021,Kaybob South #3 Gas Plant,Kaybob South #3 Road,Fox Creek,Alberta,T0H 1P0,54.1944,-116.6322,Oil and gas extraction (except oil sands),Energy Transfer Canada,Energy Transfer Canada,280061.7918
G10161,2021,Keele Valley Landfill,McNaughton Road,Maple,Ontario,L6A 1S5,43.8683,-79.4984,Waste Treatment and Disposal,City of Toronto,City of Toronto,472943.287
